meeting_date,asof_date,exp_rate_bp,rate_uncertainty,days_to_meeting,actual_rate_bp,forecast_error_bp,error_direction
2025-05-07,2024-09-12,333.07777942222054,27.14118335595549,237,437.5,-104.42222057777946,Underestimate
2025-05-07,2024-09-13,325.44440000000003,28.39938394824789,236,437.5,-112.05559999999997,Underestimate
2025-05-07,2024-09-16,321.13328363328355,28.33053416121957,233,437.5,-116.36671636671645,Underestimate
2025-05-07,2024-09-17,327.1333,28.379729228976093,232,437.5,-110.36669999999998,Underestimate
2025-05-07,2024-09-18,328.81110868889135,25.49744971888298,231,437.5,-108.68889131110865,Underestimate
2025-05-07,2024-09-19,329.3111418111418,25.35590782327129,230,437.5,-108.1888581888582,Underestimate
2025-05-07,2024-09-20,326.8110750000001,25.85906528365585,229,437.5,-110.68892499999993,Underestimate
2025-05-07,2024-09-23,324.97777500000007,25.713726996477483,226,437.5,-112.52222499999993,Underestimate
2025-05-07,2024-09-24,322.8110646889353,25.570770614086438,225,437.5,-114.68893531106471,Underestimate
2025-05-07,2024-09-25,324.988925,25.225703703650666,224,437.5,-112.511075,Underestimate
2025-05-07,2024-09-26,334.48895,24.490326210516265,223,437.5,-103.01105000000001,Underestimate
2025-05-07,2024-09-27,327.477725,25.19599926227128,222,437.5,-110.02227499999998,Underestimate
2025-05-07,2024-09-30,340.466702966703,23.93356440491444,219,437.5,-97.033297033297,Underestimate
2025-05-07,2024-10-01,338.2055492944507,24.10008545381492,218,437.5,-99.29445070554931,Underestimate
2025-05-07,2024-10-02,341.45554604445397,23.869081886632973,217,437.5,-96.04445395554603,Underestimate
2025-05-07,2024-10-03,350.8944383944384,21.886846587451288,216,437.5,-86.6055616055616,Underestimate
2025-05-07,2024-10-04,378.57216607216606,21.18020738010893,215,437.5,-58.927833927833944,Underestimate
2025-05-07,2024-10-07,385.8222,22.116170264311133,212,437.5,-51.67779999999999,Underestimate
2025-05-07,2024-10-08,382.48881998881996,21.7687091689924,211,437.5,-55.011180011180045,Underestimate
2025-05-07,2024-10-09,389.56112499999995,21.983286577178923,210,437.5,-47.93887500000005,Underestimate
2025-05-07,2024-10-10,387.40562509437484,21.159129723585302,209,437.5,-50.09437490562516,Underestimate
2025-05-07,2024-10-11,380.72772499999996,18.757516262138093,208,437.5,-56.772275000000036,Underestimate
2025-05-07,2024-10-14,387.477825022175,21.395961662956196,205,437.5,-50.02217497782499,Underestimate
2025-05-07,2024-10-15,382.96673406653184,19.673092278905663,204,437.5,-54.53326593346816,Underestimate
2025-05-07,2024-10-16,381.7999442999443,19.261938337798874,203,437.5,-55.700055700055714,Underestimate
2025-05-07,2024-10-17,387.3000001999999,21.694688967129046,202,437.5,-50.199999800000114,Underestimate
2025-05-07,2024-10-18,384.7889,20.681088868577493,201,437.5,-52.71109999999999,Underestimate
2025-05-07,2024-10-21,391.966675,23.123514859215824,198,437.5,-45.53332499999999,Underestimate
2025-05-07,2024-10-22,392.13327963327964,23.074881337880484,197,437.5,-45.36672036672036,Underestimate
2025-05-07,2024-10-23,396.64450000000005,24.01617933289973,196,437.5,-40.85549999999995,Underestimate
2025-05-07,2024-10-24,392.40554509445496,22.84261546926742,195,437.5,-45.094454905545035,Underestimate
2025-05-07,2024-10-25,394.500042999957,23.216751710361876,194,437.5,-42.999957000043025,Underestimate
2025-05-07,2024-10-28,397.1667,23.86540196833064,191,437.5,-40.33330000000001,Underestimate
2025-05-07,2024-10-29,395.51103301103296,23.262783161734315,190,437.5,-41.988966988967036,Underestimate
2025-05-07,2024-10-30,397.43892500000004,23.796000606076117,189,437.5,-40.06107499999996,Underestimate
2025-05-07,2024-10-31,398.68887500000005,23.941928728370552,188,437.5,-38.81112499999995,Underestimate
2025-05-07,2024-11-01,402.1889,23.417060378920322,187,437.5,-35.31110000000001,Underestimate
2025-05-07,2024-11-04,400.6777881777882,23.50818474553485,184,437.5,-36.822211822211784,Underestimate
2025-05-07,2024-11-05,403.8778,23.90115409682135,183,437.5,-33.62220000000002,Underestimate
2025-05-07,2024-11-06,410.555551944448,24.107229969862672,182,437.5,-26.944448055552016,Underestimate
2025-05-07,2024-11-07,408.35555,24.432709309397104,181,437.5,-29.144450000000006,Underestimate
2025-05-07,2024-11-08,414.09275159275165,24.089312468304694,180,437.5,-23.407248407248346,Underestimate
2025-05-07,2024-11-11,417.3624201375798,23.708029435021974,177,437.5,-20.137579862420182,Underestimate
2025-05-07,2024-11-12,421.57092499999993,23.44536616571332,176,437.5,-15.929075000000068,Underestimate
2025-05-07,2024-11-13,412.39022489022494,22.268987860815425,175,437.5,-25.109775109775057,Underestimate
2025-05-07,2024-11-14,414.9624975375025,23.22594046254295,174,437.5,-22.537502462497514,Underestimate
2025-05-07,2024-11-15,417.0346795346795,23.80877766578896,173,437.5,-20.465320465320474,Underestimate
2025-05-07,2024-11-18,417.704225,23.775994556471765,170,437.5,-19.795774999999992,Underestimate
2025-05-07,2024-11-19,418.168225,23.797911680426395,169,437.5,-19.331774999999993,Underestimate
